"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.2.10","239.255.255.250","IPv4","1506","Fragmented IP protocol (proto=UDP 17, off=0, ID=59e1) [Reassembled in #2]"
"2","0.000079","192.168.2.10","239.255.255.250","UDP","639","1071  >  8082 Len=2069"
"3","0.292558","Sagemcom_f8:80:f0","Spanning-tree-(for-bridges)_00","STP","56","Conf. Root = 32768/0/84:a0:6e:f8:80:f1  Cost = 0  Port = 0x8003"
"4","0.585414","192.168.2.13","239.255.255.250","UDP","506","1082  >  8082 Len=464"
"5","0.792918","Sagemcom_f8:80:f0","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 0/1/00:26:86:00:00:00  Cost = 90  Port = 0x8006"
"6","1.292399","Sagemcom_f8:80:f0","Spanning-tree-(for-bridges)_00","STP","56","Conf. Root = 32768/0/84:a0:6e:f8:80:f1  Cost = 0  Port = 0x8003"
"7","2.292738","Sagemcom_f8:80:f0","Spanning-tree-(for-bridges)_00","STP","56","Conf. Root = 32768/0/84:a0:6e:f8:80:f1  Cost = 0  Port = 0x8003"
"8","2.793215","Sagemcom_f8:80:f0","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 0/1/00:26:86:00:00:00  Cost = 90  Port = 0x8006"
"9","2.882967","192.168.2.212","149.112.122.10","TCP","66","52044  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"10","2.896517","192.168.2.212","160.36.131.221","TCP","66","52045  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11","2.898822","149.112.122.10","192.168.2.212","TCP","66","443  >  52044 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1452 SACK_PERM WS=512"
"12","2.898948","192.168.2.212","149.112.122.10","TCP","54","52044  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"13","2.905118","192.168.2.212","149.112.122.10","TLSv1.3","682","Client Hello"
"14","2.910982","192.168.2.212","160.36.131.221","TCP","66","52046  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15","2.919692","149.112.122.10","192.168.2.212","TCP","60","443  >  52044 [ACK] Seq=1 Ack=629 Win=30720 Len=0"
"16","2.920834","149.112.122.10","192.168.2.212","TLSv1.3","1506","Server Hello, Change Cipher Spec, Application Data"
"17","2.920834","149.112.122.10","192.168.2.212","TCP","705","[TCP Previous segment not captured] 443  >  52044 [PSH, ACK] Seq=2905 Ack=629 Win=30720 Len=651 [TCP segment of a reassembled PDU], Application Data, Application Data"
"18","2.920834","149.112.122.10","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52044 [ACK] Seq=1453 Ack=629 Win=30720 Len=1452"
"19","2.920986","192.168.2.212","149.112.122.10","TCP","66","52044  >  443 [ACK] Seq=629 Ack=1453 Win=262656 Len=0 SLE=2905 SRE=3556"
"20","2.921026","192.168.2.212","149.112.122.10","TCP","54","52044  >  443 [ACK] Seq=629 Ack=3556 Win=262656 Len=0"
"21","2.937027","160.36.131.221","192.168.2.212","TCP","66","443  >  52045 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1452 SACK_PERM WS=128"
"22","2.937163","192.168.2.212","160.36.131.221","TCP","54","52045  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"23","2.941513","192.168.2.212","160.36.131.221","TLSv1.2","571","Client Hello"
"24","2.950702","160.36.131.221","192.168.2.212","TCP","66","443  >  52046 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1452 SACK_PERM WS=128"
"25","2.950804","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"26","2.956575","192.168.2.212","160.36.131.221","TLSv1.2","571","Client Hello"
"27","2.982652","160.36.131.221","192.168.2.212","TCP","60","443  >  52045 [ACK] Seq=1 Ack=518 Win=15744 Len=0"
"28","2.987088","160.36.131.221","192.168.2.212","TLSv1.2","1506","Server Hello"
"29","2.987088","160.36.131.221","192.168.2.212","TCP","1506","[TCP Previous segment not captured] 443  >  52045 [ACK] Seq=2905 Ack=518 Win=15744 Len=1452 [TCP segment of a reassembled PDU]"
"30","2.987088","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52045 [ACK] Seq=1453 Ack=518 Win=15744 Len=1452 [TCP segment of a reassembled PDU]"
"31","2.987088","160.36.131.221","192.168.2.212","TLSv1.2","485","Certificate, Server Key Exchange, Server Hello Done"
"32","2.987251","192.168.2.212","160.36.131.221","TCP","66","52045  >  443 [ACK] Seq=518 Ack=1453 Win=262656 Len=0 SLE=2905 SRE=4357"
"33","2.987312","192.168.2.212","160.36.131.221","TCP","54","52045  >  443 [ACK] Seq=518 Ack=4357 Win=262656 Len=0"
"34","2.987347","192.168.2.212","160.36.131.221","TCP","54","52045  >  443 [ACK] Seq=518 Ack=4788 Win=262144 Len=0"
"35","2.994674","160.36.131.221","192.168.2.212","TCP","60","443  >  52046 [ACK] Seq=1 Ack=518 Win=15744 Len=0"
"36","2.999390","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"37","2.999390","160.36.131.221","192.168.2.212","TLSv1.2","485","[TCP Previous segment not captured] , Ignored Unknown Record"
"38","2.999390","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=1 Ack=518 Win=15744 Len=1452"
"39","2.999390","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=2905 Ack=518 Win=15744 Len=1452"
"40","2.999450","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 25#1] 52046  >  443 [ACK] Seq=518 Ack=1 Win=262656 Len=0 SLE=1453 SRE=2905"
"41","2.999470","192.168.2.212","160.36.131.221","TCP","74","[TCP Dup ACK 25#2] 52046  >  443 [ACK] Seq=518 Ack=1 Win=262656 Len=0 SLE=4357 SRE=4788 SLE=1453 SRE=2905"
"42","2.999515","192.168.2.212","160.36.131.221","TCP","66","52046  >  443 [ACK] Seq=518 Ack=2905 Win=262656 Len=0 SLE=4357 SRE=4788"
"43","2.999547","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=518 Ack=4788 Win=262656 Len=0"
"44","3.003138","192.168.2.212","160.36.131.221","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"45","3.010215","192.168.2.212","160.36.131.221","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"46","3.037097","160.36.131.221","192.168.2.212","TCP","1506","[TCP Spurious Retransmission] 443  >  52046 [ACK] Seq=1 Ack=518 Win=15744 Len=1452"
"47","3.037097","160.36.131.221","192.168.2.212","TCP","1506","[TCP Spurious Retransmission] 443  >  52046 [ACK] Seq=2905 Ack=518 Win=15744 Len=1452"
"48","3.037202","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 43#1] 52046  >  443 [ACK] Seq=644 Ack=4788 Win=262656 Len=0 SLE=1 SRE=1453"
"49","3.037219","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 43#2] 52046  >  443 [ACK] Seq=644 Ack=4788 Win=262656 Len=0 SLE=2905 SRE=4357"
"50","3.043814","160.36.131.221","192.168.2.212","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"51","3.048325","160.36.131.221","192.168.2.212","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"52","3.048598","192.168.2.212","160.36.131.221","TLSv1.2","582","Application Data"
"53","3.054229","192.168.2.10","239.255.255.250","IPv4","1506","Fragmented IP protocol (proto=UDP 17, off=0, ID=59e4) [Reassembled in #54]"
"54","3.054229","192.168.2.10","239.255.255.250","UDP","639","1071  >  8082 Len=2069"
"55","3.061747","192.168.2.206","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"56","3.087300","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"57","3.087300","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=4839 Ack=1172 Win=16768 Len=1452"
"58","3.087300","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"59","3.087300","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=7743 Ack=1172 Win=16768 Len=1452"
"60","3.087300","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"61","3.087300","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=10647 Ack=1172 Win=16768 Len=1452"
"62","3.087411","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 52#1] 52046  >  443 [ACK] Seq=1172 Ack=4839 Win=262656 Len=0 SLE=6291 SRE=7743"
"63","3.087496","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1172 Ack=7743 Win=262656 Len=0"
"64","3.087529","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 63#1] 52046  >  443 [ACK] Seq=1172 Ack=7743 Win=262656 Len=0 SLE=9195 SRE=10647"
"65","3.087566","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1172 Ack=10647 Win=262656 Len=0"
"66","3.087594","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 65#1] 52046  >  443 [ACK] Seq=1172 Ack=10647 Win=262656 Len=0 SLE=12099 SRE=13551"
"67","3.087619","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1172 Ack=13551 Win=262656 Len=0"
"68","3.099786","192.168.2.212","160.36.131.221","TCP","54","52045  >  443 [ACK] Seq=644 Ack=4839 Win=262144 Len=0"
"69","3.124825","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"70","3.124825","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"71","3.124825","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"72","3.124825","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"73","3.124825","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=17907 Ack=1172 Win=16768 Len=1452"
"74","3.124825","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"75","3.124825","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [PSH, ACK] Seq=20811 Ack=1172 Win=16768 Len=1452"
"76","3.124825","160.36.131.221","192.168.2.212","TCP","1506","[TCP Previous segment not captured] 443  >  52046 [ACK] Seq=25167 Ack=1172 Win=16768 Len=1452"
"77","3.124825","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=23715 Ack=1172 Win=16768 Len=1452"
"78","3.124951","192.168.2.212","160.36.131.221","TCP","66","52046  >  443 [ACK] Seq=1172 Ack=17907 Win=262656 Len=0 SLE=19359 SRE=20811"
"79","3.124985","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1172 Ack=20811 Win=262656 Len=0"
"80","3.124995","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 79#1] 52046  >  443 [ACK] Seq=1172 Ack=20811 Win=262656 Len=0 SLE=22263 SRE=23715"
"81","3.125014","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1172 Ack=23715 Win=262656 Len=0"
"82","3.125026","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 81#1] 52046  >  443 [ACK] Seq=1172 Ack=23715 Win=262656 Len=0 SLE=25167 SRE=26619"
"83","3.125048","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1172 Ack=26619 Win=262656 Len=0"
"84","3.162761","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"85","3.162761","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"86","3.162761","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=28071 Ack=1172 Win=16768 Len=1452"
"87","3.162761","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"88","3.162761","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=30975 Ack=1172 Win=16768 Len=1452"
"89","3.162761","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"90","3.162761","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"91","3.162761","160.36.131.221","192.168.2.212","TLSv1.2","1258","Ignored Unknown Record"
"92","3.162761","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"93","3.162761","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=37987 Ack=1172 Win=16768 Len=1452"
"94","3.162891","192.168.2.212","160.36.131.221","TCP","66","52046  >  443 [ACK] Seq=1172 Ack=28071 Win=262656 Len=0 SLE=29523 SRE=30975"
"95","3.162945","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1172 Ack=30975 Win=262656 Len=0"
"96","3.162966","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 95#1] 52046  >  443 [ACK] Seq=1172 Ack=30975 Win=262656 Len=0 SLE=32427 SRE=33879"
"97","3.162997","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1172 Ack=33879 Win=262656 Len=0"
"98","3.163046","192.168.2.212","160.36.131.221","TCP","66","52046  >  443 [ACK] Seq=1172 Ack=37987 Win=262656 Len=0 SLE=39439 SRE=40891"
"99","3.163073","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1172 Ack=40891 Win=262656 Len=0"
"100","3.200592","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"101","3.200592","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=42343 Ack=1172 Win=16768 Len=1452"
"102","3.200592","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"103","3.200592","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"104","3.200592","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"105","3.200592","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"106","3.200592","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=49603 Ack=1172 Win=16768 Len=1452"
"107","3.200592","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"108","3.200592","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=52507 Ack=1172 Win=16768 Len=1452"
"109","3.200592","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"110","3.200667","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 99#1] 52046  >  443 [ACK] Seq=1172 Ack=40891 Win=262656 Len=0 SLE=43795 SRE=45247"
"111","3.200691","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 99#2] 52046  >  443 [ACK] Seq=1172 Ack=40891 Win=262656 Len=0 SLE=42343 SRE=45247"
"112","3.200712","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 99#3] 52046  >  443 [ACK] Seq=1172 Ack=40891 Win=262656 Len=0 SLE=42343 SRE=49603"
"113","3.200728","192.168.2.212","160.36.131.221","TCP","74","[TCP Dup ACK 99#4] 52046  >  443 [ACK] Seq=1172 Ack=40891 Win=262656 Len=0 SLE=51055 SRE=52507 SLE=42343 SRE=49603"
"114","3.200748","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 99#5] 52046  >  443 [ACK] Seq=1172 Ack=40891 Win=262656 Len=0 SLE=42343 SRE=52507"
"115","3.200759","192.168.2.212","160.36.131.221","TCP","74","[TCP Dup ACK 99#6] 52046  >  443 [ACK] Seq=1172 Ack=40891 Win=262656 Len=0 SLE=53959 SRE=55411 SLE=42343 SRE=52507"
"116","3.200770","192.168.2.212","160.36.131.221","TCP","66","[TCP Dup ACK 99#7] 52046  >  443 [ACK] Seq=1172 Ack=40891 Win=262656 Len=0 SLE=42343 SRE=55411"
"117","3.200782","192.168.2.212","160.36.131.221","TCP","74","[TCP Dup ACK 99#8] 52046  >  443 [ACK] Seq=1172 Ack=40891 Win=262656 Len=0 SLE=56863 SRE=58315 SLE=42343 SRE=55411"
"118","3.238566","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"119","3.238566","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"120","3.238566","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=40891 Ack=1172 Win=16768 Len=1452"
"121","3.238566","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"122","3.238566","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"123","3.238566","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"124","3.238566","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"125","3.238566","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"126","3.238566","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"127","3.238672","192.168.2.212","160.36.131.221","TCP","82","[TCP Dup ACK 99#9] 52046  >  443 [ACK] Seq=1172 Ack=40891 Win=262656 Len=0 SLE=59767 SRE=62671 SLE=56863 SRE=58315 SLE=42343 SRE=55411"
"128","3.238756","192.168.2.212","160.36.131.221","TCP","74","52046  >  443 [ACK] Seq=1172 Ack=55411 Win=262656 Len=0 SLE=59767 SRE=62671 SLE=56863 SRE=58315"
"129","3.238788","192.168.2.212","160.36.131.221","TCP","74","[TCP Dup ACK 128#1] 52046  >  443 [ACK] Seq=1172 Ack=55411 Win=262656 Len=0 SLE=59767 SRE=71383 SLE=56863 SRE=58315"
"130","3.277923","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [PSH, ACK] Seq=55411 Ack=1172 Win=16768 Len=1452"
"131","3.277923","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=58315 Ack=1172 Win=16768 Len=1452"
"132","3.277923","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"133","3.277923","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"134","3.277923","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"135","3.277923","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"136","3.277923","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"137","3.277923","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"138","3.277923","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"139","3.278137","192.168.2.212","160.36.131.221","TCP","66","52046  >  443 [ACK] Seq=1172 Ack=58315 Win=262656 Len=0 SLE=59767 SRE=71383"
"140","3.278204","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1172 Ack=71383 Win=262656 Len=0"
"141","3.278243","192.168.2.212","160.36.131.221","TCP","54","52046  >  443 [ACK] Seq=1172 Ack=81547 Win=262656 Len=0"
"142","3.294744","Sagemcom_f8:80:f0","Spanning-tree-(for-bridges)_00","STP","56","Conf. Root = 32768/0/84:a0:6e:f8:80:f1  Cost = 0  Port = 0x8003"
"143","3.315748","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"144","3.315748","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"145","3.315748","160.36.131.221","192.168.2.212","TLSv1.2","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"146","3.315748","160.36.131.221","192.168.2.212","TCP","1506","[TCP Out-Of-Order] 443  >  52046 [ACK] Seq=84451 Ack=1172 Win=16768 Len=1452"
"147","3.315748","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
"148","3.315748","160.36.131.221","192.168.2.212","TLSv1.2","1506","Ignored Unknown Record"
