"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.2.20","72.21.91.29","TCP","55","60199  >  80 [ACK] Seq=1 Ack=1 Win=513 Len=1"
"2","0.014879","72.21.91.29","192.168.2.20","TCP","66","80  >  60199 [ACK] Seq=1 Ack=2 Win=131 Len=0 SLE=1 SRE=2"
"3","0.030276","192.168.2.20","160.36.131.221","TCP","55","60068  >  80 [ACK] Seq=1 Ack=1 Win=516 Len=1"
"4","0.070734","160.36.131.221","192.168.2.20","TCP","66","80  >  60068 [ACK] Seq=1 Ack=2 Win=115 Len=0 SLE=1 SRE=2"
"5","0.218132","192.168.2.20","23.33.44.73","TCP","55","60202  >  80 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"6","0.230515","23.33.44.73","192.168.2.20","TCP","66","80  >  60202 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"7","0.622428","149.112.121.10","192.168.2.20","TLSv1.2","93","Application Data"
"8","0.622874","192.168.2.20","149.112.121.10","TLSv1.2","93","Application Data"
"9","0.623312","192.168.2.20","149.112.121.10","TLSv1.2","78","Application Data"
"10","0.623504","192.168.2.20","149.112.121.10","TCP","54","60225  >  443 [FIN, ACK] Seq=64 Ack=40 Win=511 Len=0"
"11","0.632802","149.112.121.10","192.168.2.20","TLSv1.2","78","Application Data"
"12","0.632897","192.168.2.20","149.112.121.10","TCP","54","60225  >  443 [RST, ACK] Seq=65 Ack=64 Win=0 Len=0"
"13","0.633236","149.112.121.10","192.168.2.20","TCP","60","443  >  60225 [RST, ACK] Seq=64 Ack=65 Win=70 Len=0"
"14","1.441756","192.168.2.10","239.255.255.250","IPv4","1506","Fragmented IP protocol (proto=UDP 17, off=0, ID=51e1) [Reassembled in #15]"
"15","1.441756","192.168.2.10","239.255.255.250","UDP","639","1071  >  8082 Len=2069"
"16","1.512365","192.168.2.20","34.107.221.82","TCP","55","60150  >  80 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"17","1.512364","192.168.2.20","34.107.221.82","TCP","55","60151  >  80 [ACK] Seq=1 Ack=1 Win=511 Len=1"
"18","1.515075","34.107.221.82","192.168.2.20","TCP","66","80  >  60150 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"19","1.515075","34.107.221.82","192.168.2.20","TCP","66","80  >  60151 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"20","1.542022","192.168.2.13","239.255.255.250","UDP","506","1082  >  8082 Len=464"
"21","2.481002","192.168.2.20","72.21.91.29","TCP","55","60165  >  80 [ACK] Seq=1 Ack=1 Win=516 Len=1"
"22","2.481024","192.168.2.20","72.21.91.29","TCP","55","60166  >  80 [ACK] Seq=1 Ack=1 Win=516 Len=1"
"23","2.492053","192.168.2.20","72.21.91.29","TCP","55","60164  >  80 [ACK] Seq=1 Ack=1 Win=516 Len=1"
