"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Sagemcom_f8:80:f0","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 0/1/00:26:86:00:00:00  Cost = 90  Port = 0x8006"
"2","0.496868","Sagemcom_f8:80:f0","Spanning-tree-(for-bridges)_00","STP","56","Conf. Root = 32768/0/84:a0:6e:f8:80:f1  Cost = 0  Port = 0x8003"
"3","0.717716","192.168.2.13","239.255.255.250","UDP","506","1082  >  8082 Len=464"
"4","0.800691","192.168.2.212","172.217.13.131","UDP","193","54997  >  443 Len=151"
"5","0.803468","172.217.13.131","192.168.2.212","UDP","70","443  >  54997 Len=28"
"6","0.809782","192.168.2.212","172.217.13.131","UDP","75","54997  >  443 Len=33"
"7","0.821167","172.217.13.131","192.168.2.212","UDP","112","443  >  54997 Len=70"
"8","0.821167","172.217.13.131","192.168.2.212","UDP","67","443  >  54997 Len=25"
"9","0.821746","192.168.2.212","172.217.13.131","UDP","78","54997  >  443 Len=36"
"10","0.823111","192.168.2.212","172.217.13.131","UDP","75","54997  >  443 Len=33"
"11","0.825443","172.217.13.131","192.168.2.212","UDP","67","443  >  54997 Len=25"
"12","0.939526","192.168.2.212","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"13","1.156550","192.168.2.10","239.255.255.250","IPv4","1506","Fragmented IP protocol (proto=UDP 17, off=0, ID=5942) [Reassembled in #14]"
"14","1.156550","192.168.2.10","239.255.255.250","UDP","639","1071  >  8082 Len=2069"
"15","1.251447","192.168.2.193","192.168.2.212","UDP","404","60000  >  61098 Len=362"
"16","1.497548","Sagemcom_f8:80:f0","Spanning-tree-(for-bridges)_00","STP","56","Conf. Root = 32768/0/84:a0:6e:f8:80:f1  Cost = 0  Port = 0x8003"
"17","1.945124","192.168.2.212","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"18","2.000036","Sagemcom_f8:80:f0","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 0/1/00:26:86:00:00:00  Cost = 90  Port = 0x8006"
"19","2.104815","192.168.2.193","192.168.2.212","UDP","404","60000  >  61098 Len=362"
"20","2.327005","192.168.2.212","172.217.13.131","UDP","304","54997  >  443 Len=262"
"21","2.330827","192.168.2.212","172.217.13.110","UDP","120","56832  >  443 Len=78"
"22","2.332219","172.217.13.131","192.168.2.212","UDP","70","443  >  54997 Len=28"
"23","2.333532","172.217.13.110","192.168.2.212","UDP","71","443  >  56832 Len=29"
"24","2.334164","192.168.2.212","172.217.13.131","UDP","75","54997  >  443 Len=33"
"25","2.345627","192.168.2.212","172.217.13.110","UDP","75","56832  >  443 Len=33"
"26","2.346983","172.217.13.131","192.168.2.212","UDP","112","443  >  54997 Len=70"
"27","2.346983","172.217.13.131","192.168.2.212","UDP","67","443  >  54997 Len=25"
"28","2.347462","192.168.2.212","172.217.13.131","UDP","78","54997  >  443 Len=36"
"29","2.349391","192.168.2.212","172.217.13.131","UDP","75","54997  >  443 Len=33"
"30","2.351294","172.217.13.131","192.168.2.212","UDP","67","443  >  54997 Len=25"
"31","2.385691","172.217.13.110","192.168.2.212","UDP","1287","443  >  56832 Len=1245"
"32","2.385691","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"33","2.385691","172.217.13.110","192.168.2.212","UDP","611","443  >  56832 Len=569"
"34","2.386196","192.168.2.212","172.217.13.110","UDP","78","56832  >  443 Len=36"
"35","2.387641","192.168.2.212","172.217.13.110","UDP","75","56832  >  443 Len=33"
"36","2.388939","172.217.13.110","192.168.2.212","UDP","68","443  >  56832 Len=26"
"37","2.412963","172.217.13.110","192.168.2.212","UDP","1286","443  >  56832 Len=1244"
"38","2.412963","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"39","2.412963","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"40","2.412963","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"41","2.412963","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"42","2.412963","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"43","2.412963","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"44","2.412963","172.217.13.110","192.168.2.212","UDP","1281","443  >  56832 Len=1239"
"45","2.412963","172.217.13.110","192.168.2.212","UDP","1286","443  >  56832 Len=1244"
"46","2.412963","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"47","2.419780","192.168.2.212","172.217.13.110","UDP","75","56832  >  443 Len=33"
"48","2.420933","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"49","2.420933","172.217.13.110","192.168.2.212","UDP","815","443  >  56832 Len=773"
"50","2.420933","172.217.13.110","192.168.2.212","UDP","140","443  >  56832 Len=98"
"51","2.420933","172.217.13.110","192.168.2.212","UDP","83","443  >  56832 Len=41"
"52","2.420933","172.217.13.110","192.168.2.212","UDP","243","443  >  56832 Len=201"
"53","2.420933","172.217.13.110","192.168.2.212","UDP","165","443  >  56832 Len=123"
"54","2.420933","172.217.13.110","192.168.2.212","UDP","221","443  >  56832 Len=179"
"55","2.420933","172.217.13.110","192.168.2.212","UDP","145","443  >  56832 Len=103"
"56","2.420933","172.217.13.110","192.168.2.212","UDP","198","443  >  56832 Len=156"
"57","2.420933","172.217.13.110","192.168.2.212","UDP","1284","443  >  56832 Len=1242"
"58","2.421270","192.168.2.212","172.217.13.110","UDP","75","56832  >  443 Len=33"
"59","2.422184","192.168.2.212","172.217.13.110","UDP","75","56832  >  443 Len=33"
"60","2.428969","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"61","2.428969","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"62","2.428969","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"63","2.428969","172.217.13.110","192.168.2.212","UDP","295","443  >  56832 Len=253"
"64","2.428969","172.217.13.110","192.168.2.212","UDP","1284","443  >  56832 Len=1242"
"65","2.428969","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"66","2.428969","172.217.13.110","192.168.2.212","UDP","508","443  >  56832 Len=466"
"67","2.438432","192.168.2.212","172.217.13.110","UDP","75","56832  >  443 Len=33"
"68","2.486981","172.217.13.110","192.168.2.212","UDP","1284","443  >  56832 Len=1242"
"69","2.486981","172.217.13.110","192.168.2.212","UDP","867","443  >  56832 Len=825"
"70","2.488682","192.168.2.212","172.217.13.110","UDP","75","56832  >  443 Len=33"
"71","2.490540","172.217.13.110","192.168.2.212","UDP","1284","443  >  56832 Len=1242"
"72","2.490540","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"73","2.490540","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"74","2.490540","172.217.13.110","192.168.2.212","UDP","783","443  >  56832 Len=741"
"75","2.490540","172.217.13.110","192.168.2.212","UDP","1284","443  >  56832 Len=1242"
"76","2.490540","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"77","2.490540","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"78","2.490540","172.217.13.110","192.168.2.212","UDP","580","443  >  56832 Len=538"
"79","2.494649","192.168.2.212","172.217.13.110","UDP","75","56832  >  443 Len=33"
"80","2.495342","172.217.13.110","192.168.2.212","UDP","1284","443  >  56832 Len=1242"
"81","2.495342","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"82","2.495342","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"83","2.495342","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"84","2.495342","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"85","2.495342","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"86","2.495342","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"87","2.495342","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"88","2.495342","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"89","2.495342","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"90","2.495662","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"91","2.495662","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"92","2.495662","172.217.13.110","192.168.2.212","UDP","1284","443  >  56832 Len=1242"
"93","2.495662","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"94","2.495662","172.217.13.110","192.168.2.212","UDP","918","443  >  56832 Len=876"
"95","2.495662","172.217.13.110","192.168.2.212","UDP","1284","443  >  56832 Len=1242"
"96","2.495662","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"97","2.495662","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"98","2.495662","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"99","2.495662","172.217.13.110","192.168.2.212","UDP","1292","443  >  56832 Len=1250"
"100","2.495935","172.217.13.110","192.168.2.212","UDP","1059","443  >  56832 Len=1017"
"101","2.495945","192.168.2.212","172.217.13.110","UDP","75","56832  >  443 Len=33"
"102","2.496210","192.168.2.212","172.217.13.110","UDP","76","56832  >  443 Len=34"
"103","2.496297","192.168.2.212","172.217.13.110","UDP","76","56832  >  443 Len=34"
"104","2.496367","192.168.2.212","172.217.13.110","UDP","76","56832  >  443 Len=34"
"105","2.496450","192.168.2.212","172.217.13.110","UDP","76","56832  >  443 Len=34"
"106","2.497013","Sagemcom_f8:80:f0","Spanning-tree-(for-bridges)_00","STP","56","Conf. Root = 32768/0/84:a0:6e:f8:80:f1  Cost = 0  Port = 0x8003"
"107","2.497871","192.168.2.212","172.217.13.110","UDP","77","56832  >  443 Len=35"
"108","2.498967","172.217.13.110","192.168.2.212","UDP","751","443  >  56832 Len=709"
"109","2.506397","192.168.2.212","172.217.13.110","UDP","77","56832  >  443 Len=35"
"110","2.508363","172.217.13.110","192.168.2.212","UDP","703","443  >  56832 Len=661"
"111","2.522672","192.168.2.212","172.217.13.110","UDP","77","56832  >  443 Len=35"
"112","2.599284","192.168.2.212","172.217.13.110","UDP","75","56832  >  443 Len=33"
"113","2.607161","172.217.13.110","192.168.2.212","UDP","68","443  >  56832 Len=26"
"114","2.622137","192.168.2.212","172.217.13.110","UDP","553","56832  >  443 Len=511"
"115","2.625947","172.217.13.110","192.168.2.212","UDP","71","443  >  56832 Len=29"
"116","2.627470","192.168.2.212","172.217.13.110","UDP","75","56832  >  443 Len=33"
"117","2.650475","172.217.13.110","192.168.2.212","UDP","114","443  >  56832 Len=72"
"118","2.650742","192.168.2.212","172.217.13.110","UDP","78","56832  >  443 Len=36"
"119","2.651535","172.217.13.110","192.168.2.212","UDP","68","443  >  56832 Len=26"
