"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.2.10","239.255.255.250","IPv4","1506","Fragmented IP protocol (proto=UDP 17, off=0, ID=4f93) [Reassembled in #2]"
"2","0.000000","192.168.2.10","239.255.255.250","UDP","639","1071  >  8082 Len=2069"
"3","0.110662","192.168.2.20","162.159.128.232","TCP","55","59862  >  443 [ACK] Seq=1 Ack=1 Win=2064 Len=1 [TCP segment of a reassembled PDU]"
"4","0.113581","162.159.128.232","192.168.2.20","TCP","66","443  >  59862 [ACK] Seq=1 Ack=2 Win=8 Len=0 SLE=1 SRE=2"
"5","0.801317","192.168.2.20","192.168.2.1","DNS","83","Standard query 0x2f33 A spclient.wg.spotify.com"
"6","0.804820","192.168.2.1","192.168.2.20","DNS","132","Standard query response 0x2f33 A spclient.wg.spotify.com CNAME edge-web.dual-gslb.spotify.com A 35.186.224.25"
"7","0.809546","192.168.2.20","35.186.224.25","TCP","66","59888  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8","0.812816","35.186.224.25","192.168.2.20","TCP","66","443  >  59888 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"9","0.812886","192.168.2.20","35.186.224.25","TCP","54","59888  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"10","0.813613","192.168.2.20","35.186.224.25","TLSv1.2","244","Client Hello"
"11","0.814520","192.168.2.1","224.0.0.1","IGMPv3","50","Membership Query, general"
"12","0.816929","35.186.224.25","192.168.2.20","TCP","60","443  >  59888 [ACK] Seq=1 Ack=191 Win=66816 Len=0"
"13","0.818272","35.186.224.25","192.168.2.20","TLSv1.2","1466","[TCP Previous segment not captured] , Ignored Unknown Record"
"14","0.818272","35.186.224.25","192.168.2.20","TCP","1466","[TCP Out-Of-Order] 443  >  59888 [ACK] Seq=1 Ack=191 Win=66816 Len=1412"
"15","0.818272","35.186.224.25","192.168.2.20","TLSv1.2","561","Ignored Unknown Record"
"16","0.818292","192.168.2.20","35.186.224.25","TCP","66","[TCP Dup ACK 9#1] 59888  >  443 [ACK] Seq=191 Ack=1 Win=131072 Len=0 SLE=1413 SRE=2825"
"17","0.818344","192.168.2.20","35.186.224.25","TCP","54","59888  >  443 [ACK] Seq=191 Ack=2825 Win=131072 Len=0"
"18","0.819362","192.168.2.20","35.186.224.25","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"19","0.822842","35.186.224.25","192.168.2.20","TLSv1.2","349","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"20","0.824162","192.168.2.20","35.186.224.25","TLSv1.2","229","Application Data"
"21","0.832150","35.186.224.25","192.168.2.20","TCP","54","443  >  59888 [ACK] Seq=3627 Ack=459 Win=67840 Len=0"
"22","0.858099","35.186.224.25","192.168.2.20","TLSv1.2","265","[TCP Previous segment not captured] , Application Data"
"23","0.858099","35.186.224.25","192.168.2.20","TCP","1466","[TCP Out-Of-Order] 443  >  59888 [PSH, ACK] Seq=3627 Ack=459 Win=67840 Len=1412"
"24","0.858126","192.168.2.20","35.186.224.25","TCP","66","[TCP Dup ACK 20#1] 59888  >  443 [ACK] Seq=459 Ack=3627 Win=130304 Len=0 SLE=5039 SRE=5250"
"25","0.858197","192.168.2.20","35.186.224.25","TCP","54","59888  >  443 [ACK] Seq=459 Ack=5250 Win=131072 Len=0"
"26","0.879462","192.168.2.20","172.217.13.195","UDP","266","54501  >  443 Len=224"
"27","0.880689","192.168.2.20","172.217.13.174","UDP","144","50989  >  443 Len=102"
"28","0.883136","172.217.13.195","192.168.2.20","UDP","71","443  >  54501 Len=29"
"29","0.884020","172.217.13.174","192.168.2.20","UDP","73","443  >  50989 Len=31"
"30","0.887269","192.168.2.20","172.217.13.195","UDP","75","54501  >  443 Len=33"
"31","0.887421","192.168.2.20","172.217.13.174","UDP","75","50989  >  443 Len=33"
"32","0.900166","172.217.13.195","192.168.2.20","UDP","107","443  >  54501 Len=65"
"33","0.900244","172.217.13.195","192.168.2.20","UDP","68","443  >  54501 Len=26"
"34","0.900403","192.168.2.20","172.217.13.195","UDP","78","54501  >  443 Len=36"
"35","0.901941","192.168.2.20","172.217.13.195","UDP","75","54501  >  443 Len=33"
"36","0.904069","172.217.13.195","192.168.2.20","UDP","68","443  >  54501 Len=26"
"37","0.922284","Sagemcom_f8:80:f0","IntelCor_ca:c5:65","ARP","60","Who has 192.168.2.20? Tell 192.168.2.1"
"38","0.922301","IntelCor_ca:c5:65","Sagemcom_f8:80:f0","ARP","42","192.168.2.20 is at 58:96:1d:ca:c5:65"
"39","0.931811","172.217.13.174","192.168.2.20","UDP","1287","443  >  50989 Len=1245"
"40","0.931811","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
"41","0.931811","172.217.13.174","192.168.2.20","UDP","609","443  >  50989 Len=567"
"42","0.932302","192.168.2.20","172.217.13.174","UDP","81","50989  >  443 Len=39"
"43","0.934191","192.168.2.20","172.217.13.174","UDP","75","50989  >  443 Len=33"
"44","0.936290","172.217.13.174","192.168.2.20","UDP","67","443  >  50989 Len=25"
"45","0.945806","172.217.13.174","192.168.2.20","UDP","1286","443  >  50989 Len=1244"
"46","0.945806","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
"47","0.945912","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
"48","0.945912","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
"49","0.945912","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
"50","0.946241","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
"51","0.946241","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
"52","0.946241","172.217.13.174","192.168.2.20","UDP","1267","443  >  50989 Len=1225"
"53","0.947027","172.217.13.174","192.168.2.20","UDP","1286","443  >  50989 Len=1244"
"54","0.947027","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
"55","0.947131","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
"56","0.947131","172.217.13.174","192.168.2.20","UDP","811","443  >  50989 Len=769"
"57","0.947203","172.217.13.174","192.168.2.20","UDP","139","443  >  50989 Len=97"
"58","0.947323","192.168.2.20","172.217.13.174","UDP","75","50989  >  443 Len=33"
"59","0.947329","172.217.13.174","192.168.2.20","UDP","82","443  >  50989 Len=40"
"60","0.948715","172.217.13.174","192.168.2.20","UDP","242","443  >  50989 Len=200"
"61","0.948847","172.217.13.174","192.168.2.20","UDP","164","443  >  50989 Len=122"
"62","0.948975","192.168.2.20","172.217.13.174","UDP","75","50989  >  443 Len=33"
"63","0.949867","172.217.13.174","192.168.2.20","UDP","220","443  >  50989 Len=178"
"64","0.949947","172.217.13.174","192.168.2.20","UDP","144","443  >  50989 Len=102"
"65","0.950055","172.217.13.174","192.168.2.20","UDP","197","443  >  50989 Len=155"
"66","0.950114","192.168.2.20","172.217.13.174","UDP","75","50989  >  443 Len=33"
"67","0.951700","192.168.2.20","172.217.13.174","UDP","75","50989  >  443 Len=33"
"68","0.951848","172.217.13.174","192.168.2.20","UDP","1284","443  >  50989 Len=1242"
"69","0.951848","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
"70","0.951848","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
"71","0.952272","172.217.13.174","192.168.2.20","UDP","1292","443  >  50989 Len=1250"
